timestamp,interval,data,direction,jitter
1755183555.359827,0.009927034378051758,00DC050000,T,8.797645568847656e-05
1755183555.369883,0.010056018829345703,00DC050000,T,0.0001289844512939453
1755183555.379903,0.010020017623901367,00DC050000,T,3.600120544433594e-05
1755183555.389935,0.010031938552856445,00DC050000,T,1.1920928955078125e-05
1755183555.399933,0.009998083114624023,00DC050000,T,3.3855438232421875e-05
1755183555.409893,0.009959936141967773,00DC050000,T,3.814697265625e-05
1755183555.419926,0.010032892227172852,00DC050000,T,7.295608520507812e-05
1755183555.429903,0.009977102279663086,00DC050000,T,5.5789947509765625e-05
1755183555.439831,0.009927988052368164,00DC050000,T,4.9114227294921875e-05
1755183555.44992,0.010088920593261719,00DC050000,T,0.0001609325408935547
1755183555.459847,0.009927034378051758,00DC050000,T,0.00016188621520996094
1755183555.469975,0.010128021240234375,00DC050000,T,0.0002009868621826172
1755183555.479856,0.009881019592285156,00DC050000,T,0.00024700164794921875
1755183555.489978,0.010122060775756836,00DC050000,T,0.0002410411834716797
1755183555.499916,0.00993800163269043,00DC050000,T,0.00018405914306640625
1755183555.509922,0.010005950927734375,00DC050000,T,6.794929504394531e-05
1755183555.519842,0.009919881820678711,00DC050000,T,8.606910705566406e-05
1755183555.530709,0.010867118835449219,00DC050000,T,0.0009472370147705078
1755183555.539887,0.009177923202514648,00DC050000,T,0.0016891956329345703
1755183555.54988,0.00999307632446289,00DC050000,T,0.0008151531219482422
1755183555.559894,0.010014057159423828,00DC050000,T,2.09808349609375e-05
1755183555.569884,0.00998997688293457,00DC050000,T,2.4080276489257812e-05
1755183555.579996,0.01011204719543457,00DC050000,T,0.0001220703125
1755183555.589876,0.009879827499389648,00DC050000,T,0.00023221969604492188
1755183555.599883,0.010007143020629883,00DC050000,T,0.00012731552124023438
1755183555.609836,0.009953022003173828,00DC050000,T,5.412101745605469e-05
1755183555.619839,0.010002851486206055,00DC050000,T,4.982948303222656e-05
1755183555.629926,0.010087013244628906,00DC050000,T,8.416175842285156e-05
1755183555.639856,0.009930133819580078,00DC050000,T,0.00015687942504882812
1755183555.649827,0.009970903396606445,00DC050000,T,4.076957702636719e-05
1755183555.659835,0.010008096694946289,00DC050000,T,3.719329833984375e-05
